Dataset,r2,mae,rmse,mean,10_acc,10_recall,10_f1,10_precision,10_prc-auc,20_acc,20_recall,20_f1,20_precision,20_prc-auc,30_acc,30_recall,30_f1,30_precision,30_prc-auc,40_acc,40_recall,40_f1,40_precision,40_prc-auc,50_acc,50_recall,50_f1,50_precision,50_prc-auc,features
AL+Random,0.5123105510192857,7.575443157130399,11.75849886729482,11.695714248475122,0.8630051813471502,0.9596000000000001,0.7840281120664606,0.6628161203526554,0.8164412207980893,0.8811398963730568,0.814,0.7391698574329213,0.6783855801305857,0.7654674014642565,0.8631088082901555,0.5338461538461537,0.5114406267441367,0.49305534389626593,0.5448497126017798,0.9025906735751295,0.28705882352941176,0.3406104707468881,0.4319989177489177,0.3909278343697347,0.9601036269430052,0.04,0.07066666666666667,0.31,0.5348963730569948,DFT+PCA
AL cores 1,0.4063600015925901,8.041521662974192,12.970820900903165,12.102411087611285,0.8640414507772018,0.95,0.7835415598061831,0.6667859167316764,0.8148696423036622,0.8575129533678756,0.7914999999999999,0.6968658545442267,0.6234135202947394,0.7290629777639499,0.8421761658031088,0.6061538461538462,0.5087382720140707,0.4390107276966234,0.5491107843345613,0.8917098445595855,0.18235294117647058,0.22167532322409722,0.30484254634254637,0.27960810645380896,0.9569948186528499,0.0025,0.0044444444444444444,0.02,0.39192357512953363,DFT+PCA
AL cores 1&2,0.39090161946488455,8.432016549924743,13.13728061096626,12.707078989761952,0.8613471502590674,0.9488,0.7800132603979822,0.66233397726982,0.8121991129872417,0.8446632124352331,0.81,0.6835798957073652,0.5915398641417886,0.7204590512418787,0.8439378238341969,0.6153846153846154,0.5157314438465748,0.44458399491062023,0.5558910408989132,0.8879792746113989,0.2494117647058824,0.27662517539400694,0.3220840231320108,0.31880488873759943,0.9537823834196892,0.02,0.028273504273504276,0.07,0.24531088082901553,DFT+PCA
Random,0.21908016305201106,8.355517849239456,14.880027878019675,7.3239928193120525,0.8644559585492227,0.7615999999999999,0.7440891210126164,0.7283698780572824,0.7758657680441853,0.8158549222797927,0.25900000000000006,0.36645996558467,0.6392270776179445,0.5259011035758117,0.8450777202072538,0.08076923076923076,0.12285474835095327,0.258984126984127,0.2317937773222748,0.8979274611398964,0.018823529411764704,0.030163372859025036,0.07833333333333332,0.09179086660570965,0.9537823834196891,0.0,0.0,0.0,0.07072538860103628,DFT+PCA
AL+Random,0.4903004851116341,7.5907543556292145,12.019180489705635,12.27123473129822,0.8653886010362694,0.9596000000000001,0.7869813563244389,0.6670343929139029,0.8185503570787129,0.8833160621761658,0.871,0.7553896172198966,0.6677156036741974,0.7827256774847672,0.838238341968912,0.4923076923076923,0.4494201759489654,0.41419390132188666,0.4874476880064993,0.8963730569948187,0.36588235294117644,0.3839802429280607,0.4073058144985389,0.41452154485975407,0.9619689119170985,0.275,0.3771913968384556,0.6691587301587302,0.4871052718151163,DFT
AL cores 1,0.3546035141013042,8.236296190716601,13.52480702912881,12.787802134308414,0.8581347150259069,0.9355999999999999,0.7736302244969698,0.6595181391791561,0.8059010385014953,0.8635233160621761,0.8425,0.7187474034452076,0.6270094051853359,0.751075946115984,0.8218652849740934,0.6361538461538462,0.4905635224023513,0.3995557025593745,0.5423625463773356,0.8833160621761657,0.3247058823529412,0.32448822560519663,0.3328904224348362,0.3585390850363757,0.9546113989637307,0.05,0.0761991341991342,0.19166666666666668,0.23052245250431777,DFT
AL cores 1&2,0.3101077651958429,8.804647439061087,13.982748466135355,14.000533935638611,0.8560621761658033,0.9379999999999998,0.7715444169794982,0.6553065244484305,0.8046843503071169,0.8548186528497409,0.8970000000000001,0.7191382335440821,0.600351667148491,0.7593494087037791,0.8007253886010365,0.6584615384615384,0.47119489360922195,0.3671366824945082,0.5358042918251735,0.8735751295336788,0.45764705882352935,0.3882495322924754,0.3395871165124866,0.42250309803070224,0.9535751295336788,0.1875,0.2418164058164058,0.3637142857142857,0.30244652109548487,DFT
Random,0.2197618432890581,8.442303465059076,14.873394175928444,7.7376036157784505,0.8521243523316063,0.7576,0.7260607405695894,0.6977406605604571,0.7590692940107986,0.8277720207253887,0.3335,0.4432486485074643,0.6717845519745506,0.5717096335002287,0.8385492227979274,0.07615384615384617,0.11274937886702592,0.21847763347763344,0.20954371909035122,0.89139896373057,0.009411764705882352,0.014560511951816298,0.03266666666666666,0.06466615869145587,0.947461139896373,0.0,0.0,0.0,0.020725388601036274,DFT
AL+Random,0.30299850998814876,9.761179744372797,14.058221983700967,9.965845261945107,0.7963730569948188,0.7844000000000001,0.666995937591245,0.5811102357375596,0.7106825790086763,0.8193782383419689,0.4025,0.4690569742189711,0.5843837861234371,0.5553589915073144,0.8673575129533679,0.07923076923076926,0.13604345751064328,0.5462063492063493,0.37473928460716033,0.9065284974093265,0.0,0.0,0.0,0.044041450777202076,0.9553367875647669,0.0,0.0,0.0,0.21072538860103626,DRFP
AL cores 1,0.34044622474291936,9.402383312268505,13.675489665550971,11.05703031638493,0.7934715025906738,0.8055999999999999,0.6692296630544179,0.5725902375568414,0.71427646592868,0.837098445595855,0.7805000000000001,0.6650825735476252,0.5830053647888286,0.7044987963840516,0.8593782383419689,0.10615384615384615,0.16728017240380652,0.423478021978022,0.3250231879519444,0.906321243523316,0.001176470588235294,0.002105263157894737,0.01,0.04957787259981714,0.9576165803108807,0.0,0.0,0.0,0.43072538860103626,DRFP
AL cores 1&2,0.2872444501785053,10.269628679481674,14.21607292280193,11.670749850243755,0.7860103626943007,0.8011999999999999,0.6607967377740736,0.5632042697199136,0.7079534301967443,0.8327461139896373,0.7075,0.6322603644978473,0.5796937088915077,0.6739077352747695,0.8652849740932642,0.16615384615384618,0.24609744065036665,0.4990858585858585,0.3887856554786606,0.904559585492228,0.002352941176470588,0.004210526315789474,0.02,0.055114294422432195,0.9563730569948187,0.0,0.0,0.0,0.31072538860103627,DRFP
Random,0.0015835706162287378,9.636940417510932,16.825868282755945,5.068239976260491,0.7687046632124352,0.29120000000000007,0.394523571423581,0.6184134064787024,0.5466201747419419,0.7945077720207254,0.050499999999999996,0.0919750830564784,0.5481666666666667,0.397727115716753,0.8652849740932641,0.038461538461538464,0.07142857142857145,0.5,0.3339976086090076,0.911917098445596,0.04823529411764705,0.0863157894736842,0.41,0.36103474550441933,0.9581347150259067,0.0,0.0,0.0,0.5007253886010363,DRFP
AL+Random,0.319431616688299,9.277221415797529,13.891232483371198,10.660612850495392,0.8025906735751296,0.872,0.6960247439910923,0.5793041643431428,0.7422323930524004,0.8262176165803109,0.5884999999999999,0.583794706070651,0.5802021980454176,0.626993586069341,0.8522279792746116,0.06461538461538462,0.10370594155348456,0.2808015873015873,0.23571366730563623,0.9111917098445597,0.001176470588235294,0.0022222222222222222,0.02,0.4745778725998171,0.9585492227979274,0.0,0.0,0.0,0.5207253886010362,PCA
AL cores 1,0.3329407857619828,9.710889868584424,13.752106728583344,12.189991220523153,0.7744041450777204,0.8984000000000001,0.6737213544643491,0.5394079792798457,0.732064611401581,0.8470466321243525,0.69,0.6514683579906101,0.6175275810757124,0.6858881428694623,0.8584455958549222,0.2976923076923077,0.35871132415817064,0.46031244924665976,0.426308077951349,0.8935751295336787,0.003529411764705882,0.005383022774327122,0.011666666666666665,0.05148404957838058,0.9574093264248705,0.0,0.0,0.0,0.43072538860103626,PCA
AL cores 1&2,0.1361145494221099,11.184735486594573,15.648531122229844,14.07169075629386,0.7374093264248703,0.93,0.6473845108222682,0.4966045953481284,0.7223696551870176,0.7956476683937823,0.7629999999999998,0.6075556228297297,0.5051165652775925,0.6586178681310244,0.8203108808290155,0.27461538461538465,0.2872476336167073,0.3049826449150837,0.33865911839217716,0.8873575129533678,0.0,0.0,0.0,0.044041450777202076,0.955440414507772,0.0,0.0,0.0,0.30072538860103626,PCA
Random,0.03383536377987901,9.507811322537357,16.55172073129628,6.058086440387215,0.7609326424870467,0.42200000000000004,0.4771293840230479,0.5498125683746767,0.5607767505085818,0.7842487046632125,0.11349999999999999,0.17608722652425354,0.4056068653568653,0.35141871765252597,0.8636269430051812,0.04,0.0729753694581281,0.43999999999999995,0.3046632124352332,0.9083937823834196,0.016470588235294115,0.029473684210526315,0.14,0.14155135629381285,0.9579274611398964,0.0,0.0,0.0,0.4607253886010363,PCA
